base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9472222222222222,0.9370629370629371,0.9305555555555556,0.9337979094076655,0.9539170506912442,0.9583333333333334,0.9561200923787528,"[[207   9]
 [ 10 134]]"
vgg16_gauss,0.9053708439897699,0.9669117647058824,0.9037800687285223,0.9342806394316163,0.7647058823529411,0.91,0.8310502283105021,"[[ 91   9]
 [ 28 263]]",0.9555555555555556,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9629629629629629,0.9629629629629629,0.9629629629629629,"[[208   8]
 [  8 136]]"
vgg16_gauss,0.9053708439897699,0.9669117647058824,0.9037800687285223,0.9342806394316163,0.7647058823529411,0.91,0.8310502283105021,"[[ 91   9]
 [ 28 263]]",0.9694444444444444,0.965034965034965,0.9583333333333334,0.9616724738675957,0.9723502304147466,0.9768518518518519,0.97459584295612,"[[211   5]
 [  6 138]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9638888888888889,0.9851851851851852,0.9236111111111112,0.953405017921147,0.9511111111111111,0.9907407407407407,0.9705215419501133,"[[214   2]
 [ 11 133]]"
vgg16_gauss,0.9028132992327366,0.9702602230483272,0.8969072164948454,0.9321428571428572,0.7540983606557377,0.92,0.8288288288288288,"[[ 92   8]
 [ 30 261]]",0.9666666666666667,0.9647887323943662,0.9513888888888888,0.9580419580419581,0.9678899082568807,0.9768518518518519,0.9723502304147466,"[[211   5]
 [  7 137]]"
vgg16_gauss,0.9028132992327366,0.9702602230483272,0.8969072164948454,0.9321428571428572,0.7540983606557377,0.92,0.8288288288288288,"[[ 92   8]
 [ 30 261]]",0.9694444444444444,0.9586206896551724,0.9652777777777778,0.9619377162629758,0.9767441860465116,0.9722222222222222,0.9744779582366588,"[[210   6]
 [  5 139]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9637883008356546,0.9517241379310345,0.9583333333333334,0.9550173010380624,0.9719626168224299,0.9674418604651163,0.9696969696969698,"[[208   7]
 [  6 138]]"
vgg16_gauss,0.907928388746803,0.967032967032967,0.9072164948453608,0.9361702127659575,0.7711864406779662,0.91,0.8348623853211009,"[[ 91   9]
 [ 27 264]]",0.9637883008356546,0.9455782312925171,0.9652777777777778,0.9553264604810997,0.9764150943396226,0.9627906976744186,0.9695550351288055,"[[207   8]
 [  5 139]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.958217270194986,0.9640287769784173,0.9305555555555556,0.9469964664310955,0.9545454545454546,0.9767441860465116,0.9655172413793104,"[[210   5]
 [ 10 134]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9498607242339833,0.9315068493150684,0.9444444444444444,0.9379310344827586,0.9624413145539906,0.9534883720930233,0.9579439252336449,"[[205  10]
 [  8 136]]"
vgg16_gauss,0.9028132992327366,0.966789667896679,0.9003436426116839,0.9323843416370107,0.7583333333333333,0.91,0.8272727272727273,"[[ 91   9]
 [ 29 262]]",0.9498607242339833,0.92,0.9583333333333334,0.9387755102040817,0.9712918660287081,0.9441860465116279,0.9575471698113208,"[[203  12]
 [  6 138]]"
vgg16_gauss,0.907928388746803,0.9739776951672863,0.9003436426116839,0.9357142857142857,0.7622950819672131,0.93,0.8378378378378378,"[[ 93   7]
 [ 29 262]]",0.9554317548746518,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.9461883408071748,0.9813953488372092,0.9634703196347031,"[[211   4]
 [ 12 132]]"
vgg16_gauss,0.907928388746803,0.9704797047970479,0.9037800687285223,0.9359430604982207,0.7666666666666667,0.92,0.8363636363636363,"[[ 92   8]
 [ 28 263]]",0.9610027855153204,0.9710144927536232,0.9305555555555556,0.9503546099290779,0.9547511312217195,0.9813953488372092,0.9678899082568808,"[[211   4]
 [ 10 134]]"
